Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
249      9 1269  125   352  588    7     5    4    2   241   12  613 
250      0    0    0    82   10  152     0  737  246    83  702    0 
251    151    6  194     0    0    0   312  513    0     0  626  135 
252    146    0  100     0    0    0     0 1020   75    66  980    0 
253    212  628    0     0  564  181     0    0    0    67    0  167 
254     44  346  401   392  553    1     1    2   36   159    1  143 
255    647  276  229    16   28   31    90  237  179    36   76   14 
256    106    0   40     0    0    0     0   69   77    30  159    0 
257     68    0   21     1    0    3     2  252  261    34   97    4 
258      0    0    0     0    0    0     0    0    0     0    0    0 
259      0    0    0     0    0    0     0    0    0     0    0    0 
260      0    0    0     0    0    0   238  701    0     0  346    9 
261     15  328    0     0  793  206   122    0   44     0    0    0 
262    300  921    0     0  944  205  1266    0   80     0    0    0 
263     36  530   41    27 1108   15    51    2  116   189   29  170 
264     47  533   64    21  770  131   349  160  146   290  185   55 
265    304 1393  128    68  707   87   102  247  140    37  235   81 
266    104   12   24   158   12  108    47  915   66    42  921   89 
267     39   76   57   120  270  339   185  922   51    35  567   55 
268    108 1047   35    82 1334  141   130   20   65    49    9   58 
269      0  143   30    32  160    0     0    0    0    47    0   99 
270     81  679    0     0  841  124   186    0   49     0    0    0 
271      0    0    0     0    0    0     0    0    0     0    0    0 
272      0    0    0   238    0  199    96  296    0     0  337   89 
273     52  201    0     0  452  134    91    0   67     0    0    0 
274     51    0  167     0    0    0     0  323   64   202  565    0 
275     38 1234    0     0 1017   58   395    0  119     0    0    0 
276      0  767   17   553  394    0     0    0    0    15    0  293 
277     17  948   40   105  535   82   244   75   32   204  119  355 
278      0  186   58   147  281    0     0    0    0    53    0  109 
279      0 1021  782     0 1441    0     0    0  665     0    0  446 
280    284    0  205     1    3    6     0  261  317    90  228    0 
281      2  222   75    69  498    8     4    0    2   143    1   49 
282     87  631    4    39 1457  129    35    2  151     9    6   17 
283      0    0    0     0    0    0     0    0    0     0    0    0 
284      0    0    0    78    0  509   267 1376    0     0 1044   53 
285     49 1234   47    56 1821  103   104   11   25   142   16   87 
286      0    0    0     0    0    0   414  509    0     0  302  384 
287      0 2004    0     0  779    0     0    0    0     0    0    0 
288      0    0    0     0    0    0     0 1368    0     0  911    0 
289      0    0    0    29    0   32    30 1138    0     0 1112   59 
290      0    0    0    37    0  104    90  145    0     0   60   60 
291    129    0  113     0    0    0     0  774   41    22  597    0 
292     23  127   67   170  300    8    11   25   20    42   21  132 
293      2  122   74   139  251    0     0    1    0   128    2  145 
294     60  114    3    19  179  178    64   21   45     2   14   12 
295     31   28  125    23   45    2     0  248   67   112  107   23 
296      5  169    0     0  253   22    25    0   16     0    0    0 
297      0    0    0     0  673    0     0    0  239     0    0    0 
298      0  584   50   174 1233    0     0    0    0    87    0  332 
299      0  473   22    38  387    0     1    0    0    41    1   33 
300      0 1182  124   128  841    0     0    0    0    74    0   88 
301     60  114    3    19  179  178    64   21   45     2   14   12 
302     31   28  125    23   45    2     0  248   67   112  107   23 
